0.,0.
0.5,0.01440039153570246
1.,0.10653065971263341
1.5,0.333549829111522
2.,0.7357588823428847
2.5,1.3412619921504754
3.,2.1693904804452897
3.5,3.2332088020765584
4.,4.541341132946451
4.5,6.099296510528389
5.,7.910424993119494
5.5,0
6.,0
6.5,0
7.,0
7.5,0
8.,0
8.5,0
9.,0
9.5,0
10.,0
10.5,0
11.,0
11.5,0
12.,0
12.5,0
13.,0
13.5,0
14.,0
14.5,0
15.,57.440916795561364
15.5,59.96597795772322
16.,62.56694357593598
16.5,65.30125861614714
17.,68.20947281849607
17.5,71.31990438863717
18.,74.65206714741015
18.5,78.219179992759
19.,82.02999697019656
19.5,86.09013572783292
20.,90.40303672616254
20.5,0
21.,0
21.5,0
22.,0
22.5,0
23.,0
23.5,0
24.,0
24.5,0
25.,0
25.5,0
26.,0
26.5,0
27.,0
27.5,0
28.,0
28.5,0
29.,0
29.5,0
30.,189.94083280630167
30.5,194.9659112147802
31.,200.06689055908458
31.5,205.30121651865772
32.,210.70943940372638
32.5,216.3198778751575
33.,222.15204611705508
33.5,228.21916331708331
34.,234.5299837516933
34.5,241.09012525297996
35.,247.90302842794267
35.5,0
36.,0
36.5,0
37.,0
37.5,0
38.,0
38.5,0
39.,0
39.5,0
40.,0
40.5,0
41.,0
41.5,0
42.,0
42.5,0
43.,0
43.5,0
44.,0
44.5,0
45.,397.440832731469
45.5,404.9659111557639
46.,412.5668905125488
46.5,420.30121648196894
47.,428.2094393748049
47.5,436.3198778523625
48.,444.65204609909125
48.5,453.21916330292873
49.,462.02998374054164
49.5,471.0901252441953
50.,480.4030284210236
50.5,0
51.,0
51.5,0
52.,0
52.5,0
53.,0
53.5,0
54.,0
54.5,0
55.,0
55.5,0
56.,0
56.5,0
57.,0
57.5,0
58.,0
58.5,0
59.,0
59.5,0
60.,679.9408327314125
60.5,689.965911155719
61.,700.0668905125141
61.5,710.301216481941
62.,720.7094393747835
62.5,731.3198778523448
63.,742.1520460990782
63.5,753.219163302918
64.,764.5299837405335
64.5,776.0901252441888
65.,787.9030284210181
65.5,0
66.,0
66.5,0
67.,0
67.5,0
68.,0
68.5,0
69.,0
69.5,0
70.,0
70.5,0
71.,0
71.5,0
72.,0
72.5,0
73.,0
73.5,0
74.,0
74.5,0
75.,1037.4408327314125
75.5,1049.965911155719
76.,1062.5668905125142
76.5,1075.3012164819409
77.,1088.2094393747839
77.5,1101.3198778523447
78.,1114.652046099078
78.5,1128.2191633029177
79.,1142.0299837405335
79.5,1156.0901252441893
80.,1170.4030284210187
80.5,0
81.,0
81.5,0
82.,0
82.5,0
83.,0
83.5,0
84.,0
84.5,0
85.,0
85.5,0
86.,0
86.5,0
87.,0
87.5,0
88.,0
88.5,0
89.,0
89.5,0
90.,1469.9408327314134
90.5,1484.9659111557175
91.,1500.0668905125142
91.5,1515.3012164819404
92.,1530.7094393747834
92.5,1546.3198778523447
93.,1562.1520460990785
93.5,1578.2191633029177
94.,1594.529983740534
94.5,1611.0901252441888
95.,1627.9030284210173
95.5,0
96.,0
96.5,0
97.,0
97.5,0
98.,0
98.5,0
99.,0
99.5,0
100.,0
