1,0,0.10653
2,0,0.73576
2,1,0.10653
3,0,2.1694
3,1,0.73576
3,2,0.10653
4,0,4.5413
4,1,2.1694
4,2,0.73576
4,3,0.10653
5,0,7.9104
5,1,4.5413
5,2,2.1694
5,3,0.73576
5,4,0.10653
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
12,11,0
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
15,0,57.441
15,1,43.945
15,2,31.452
15,3,19.962
15,4,9.4776
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,10,0
15,11,0
15,12,0
15,13,0
15,14,0
16,0,62.567
16,1,48.07
16,2,34.574
16,3,22.081
16,4,10.591
16,5,0.10653
16,6,0.10653
16,7,0.10653
16,8,0.10653
16,9,0.10653
16,10,0.10653
16,11,0.10653
16,12,0.10653
16,13,0.10653
16,14,0.10653
16,15,0.10653
17,0,68.209
17,1,52.711
17,2,38.214
17,3,24.719
17,4,12.226
17,5,0.73576
17,6,0.73576
17,7,0.73576
17,8,0.73576
17,9,0.73576
17,10,0.73576
17,11,0.73576
17,12,0.73576
17,13,0.73576
17,14,0.73576
17,15,0.73576
17,16,0.10653
18,0,74.652
18,1,58.153
18,2,42.655
18,3,28.158
18,4,14.663
18,5,2.1694
18,6,2.1694
18,7,2.1694
18,8,2.1694
18,9,2.1694
18,10,2.1694
18,11,2.1694
18,12,2.1694
18,13,2.1694
18,14,2.1694
18,15,2.1694
18,16,0.73576
18,17,0.10653
19,0,82.03
19,1,64.531
19,2,48.032
19,3,32.534
19,4,18.037
19,5,4.5413
19,6,4.5413
19,7,4.5413
19,8,4.5413
19,9,4.5413
19,10,4.5413
19,11,4.5413
19,12,4.5413
19,13,4.5413
19,14,4.5413
19,15,4.5413
19,16,2.1694
19,17,0.73576
19,18,0.10653
20,0,90.403
20,1,71.904
20,2,54.404
20,3,37.906
20,4,22.407
20,5,7.9104
20,6,7.9104
20,7,7.9104
20,8,7.9104
20,9,7.9104
20,10,7.9104
20,11,7.9104
20,12,7.9104
20,13,7.9104
